configuration,segment_id,start_timestamp_ns,end_timestamp_ns,epochs,duration_s,global_rmse_m,initial_pose_rmse_m,global_final_error_m,initial_pose_final_error_m
gps,1,1559195796079819773,1559195855077373065,60,58.998,1.844642,2.010066,1.448033,2.903768
gps,2,1559195996074134603,1559196004073415873,9,7.999,2.458254,1.244430,2.603718,1.324608
gps,3,1559196103072960213,1559196109070960408,7,5.998,3.169938,6.521916,2.855255,6.576509
gps,4,1559196364065898573,1559196470064005672,107,105.998,2.367383,3.463266,1.412428,3.562596
gps,5,1559196905055161593,1559196943052805867,39,37.998,1.039634,1.404548,2.817202,3.728377
gps,6,1559197151048525530,1559197164047309760,14,12.999,4.126877,8.065844,3.530131,7.343367
gps,7,1559197203048662128,1559197208051631138,6,5.003,3.377686,4.176395,3.625660,4.276331
gps,8,1559197214048191127,1559197226048472856,13,12.000,2.110056,3.212465,3.219537,5.943960
gps,9,1559197245047191090,1559197259052363752,15,14.005,5.393365,9.154093,5.561255,9.840348
gps,10,1559197549041524304,1559197586039515877,38,36.998,1.271883,4.798473,1.290923,3.836905
base,1,1559195796079819773,1559195855077373065,60,58.998,265.920740,4.224553,140.388745,6.562745
base,2,1559195996074134603,1559196004073415873,9,7.999,367.417536,46.016357,371.478030,46.685812
base,3,1559196103072960213,1559196109070960408,7,5.998,234.819616,174.440598,230.047834,173.115394
base,4,1559196364065898573,1559196470064005672,107,105.998,91.017115,359.558381,94.634694,499.067574
base,5,1559196905055161593,1559196943052805867,39,37.998,101.568732,148.060335,116.867572,192.668170
base,6,1559197151048525530,1559197164047309760,14,12.999,213.589712,686.246185,209.507738,684.526417
base,7,1559197203048662128,1559197208051631138,6,5.003,64.650368,292.189381,58.447943,268.815262
base,8,1559197214048191127,1559197226048472856,13,12.000,109.031360,329.017689,144.317662,392.310031
base,9,1559197245047191090,1559197259052363752,15,14.005,278.497988,685.177806,301.388235,751.389796
base,10,1559197549041524304,1559197586039515877,38,36.998,224.194524,704.398736,150.986026,592.375050
visual,1,1559195796079819773,1559195855077373065,60,58.998,281.299496,3.836570,147.407156,2.904249
visual,2,1559195996074134603,1559196004073415873,9,7.999,390.982952,44.699041,396.767826,44.508960
visual,3,1559196103072960213,1559196109070960408,7,5.998,243.743686,195.828867,238.811182,194.598402
visual,4,1559196364065898573,1559196470064005672,107,105.998,93.665194,366.304677,98.285768,510.707463
visual,5,1559196905055161593,1559196943052805867,39,37.998,100.198819,160.216703,119.257562,205.644745
visual,6,1559197151048525530,1559197164047309760,14,12.999,237.130851,727.080394,232.682341,725.541204
visual,7,1559197203048662128,1559197208051631138,6,5.003,73.926611,314.202793,65.923711,288.610875
visual,8,1559197214048191127,1559197226048472856,13,12.000,115.715039,346.093659,151.486093,409.143309
visual,9,1559197245047191090,1559197259052363752,15,14.005,290.604192,709.030109,314.641626,778.043013
visual,10,1559197549041524304,1559197586039515877,38,36.998,229.725151,732.013010,156.702600,618.272279
vio,1,1559195796079819773,1559195855077373065,60,58.998,256.231749,4.910915,129.659633,8.753039
vio,2,1559195996074134603,1559196004073415873,9,7.999,359.721858,50.126063,363.058051,50.447378
vio,3,1559196103072960213,1559196109070960408,7,5.998,220.705202,182.861992,216.448313,181.774360
vio,4,1559196364065898573,1559196470064005672,107,105.998,85.153831,376.368646,87.261556,518.446879
vio,5,1559196905055161593,1559196943052805867,39,37.998,95.304900,138.308944,108.584763,173.240629
vio,6,1559197151048525530,1559197164047309760,14,12.999,198.299296,656.872925,194.822338,655.536804
vio,7,1559197203048662128,1559197208051631138,6,5.003,57.697188,271.386464,51.138686,248.073467
vio,8,1559197214048191127,1559197226048472856,13,12.000,99.510581,306.579650,133.514012,369.286807
vio,9,1559197245047191090,1559197259052363752,15,14.005,265.543698,662.141853,288.279131,727.440441
vio,10,1559197549041524304,1559197586039515877,38,36.998,222.799624,682.516213,150.177660,569.760924
gps_dropout,1,1559195796079819773,1559195855077373065,60,58.998,230.202789,1.843450,166.958727,2.678057
gps_dropout,2,1559195996074134603,1559196004073415873,9,7.999,285.803334,1.323070,292.320629,1.413992
gps_dropout,3,1559196103072960213,1559196109070960408,7,5.998,241.413114,5.884532,237.618541,5.938918
gps_dropout,4,1559196364065898573,1559196470064005672,107,105.998,90.347390,99.347049,98.458158,150.193203
gps_dropout,5,1559196905055161593,1559196943052805867,39,37.998,100.874493,192.781927,114.185514,237.322718
gps_dropout,6,1559197151048525530,1559197164047309760,14,12.999,195.358426,552.772191,190.317798,551.229698
gps_dropout,7,1559197203048662128,1559197208051631138,6,5.003,59.347498,270.009661,55.711687,253.470753
gps_dropout,8,1559197214048191127,1559197226048472856,13,12.000,107.878368,297.371739,142.221410,342.382297
gps_dropout,9,1559197245047191090,1559197259052363752,15,14.005,270.052237,555.946412,290.397378,607.727832
gps_dropout,10,1559197549041524304,1559197586039515877,38,36.998,200.444069,568.019403,128.727042,474.670373
gps_sparse,1,1559195796079819773,1559195855077373065,60,58.998,15.299942,3.988077,14.483479,6.562296
gps_sparse,2,1559195996074134603,1559196004073415873,9,7.999,12.962832,8.845974,13.561166,9.191349
gps_sparse,3,1559196103072960213,1559196109070960408,7,5.998,10.620164,14.577984,10.669307,14.524261
gps_sparse,4,1559196364065898573,1559196470064005672,107,105.998,10.197717,19.610385,12.014150,25.301213
gps_sparse,5,1559196905055161593,1559196943052805867,39,37.998,16.464328,9.223864,15.106381,7.209209
gps_sparse,6,1559197151048525530,1559197164047309760,14,12.999,11.201422,3.271698,10.273657,3.101794
gps_sparse,7,1559197203048662128,1559197208051631138,6,5.003,24.503806,19.890286,26.094829,22.068987
gps_sparse,8,1559197214048191127,1559197226048472856,13,12.000,21.863729,17.765556,25.857311,23.708204
gps_sparse,9,1559197245047191090,1559197259052363752,15,14.005,45.814352,51.977803,48.747364,56.615664
gps_sparse,10,1559197549041524304,1559197586039515877,38,36.998,107.489145,113.800639,95.190974,96.392427
