configuration,segment_id,start_timestamp_ns,end_timestamp_ns,epochs,duration_s,global_rmse_m,initial_pose_rmse_m,global_final_error_m,initial_pose_final_error_m
gps,1,1544686262058796840,1544686367056495251,106,104.998,0.640930,4.284580,0.915668,7.888115
gps,2,1544686373056768961,1544686435058883832,63,62.002,0.684162,8.878737,0.805142,10.240569
base,1,1544686262058796840,1544686367056495251,106,104.998,2.840572,31.897052,2.047476,54.284206
base,2,1544686373056768961,1544686435058883832,63,62.002,5.717345,74.506232,13.546977,103.927551
visual,1,1544686262058796840,1544686367056495251,106,104.998,2.840572,31.897052,2.047476,54.284206
visual,2,1544686373056768961,1544686435058883832,63,62.002,5.717345,74.506232,13.546977,103.927551
vio,1,1544686262058796840,1544686367056495251,106,104.998,4.695216,37.666019,1.959645,67.079340
vio,2,1544686373056768961,1544686435058883832,63,62.002,4.505177,85.962355,10.823506,116.390418
gps_dropout,1,1544686262058796840,1544686367056495251,106,104.998,1.999715,4.092556,1.973651,8.580361
gps_dropout,2,1544686373056768961,1544686435058883832,63,62.002,1.484211,9.336380,1.144804,10.351871
gps_sparse,1,1544686262058796840,1544686367056495251,106,104.998,4.825028,12.776154,4.872725,13.421291
gps_sparse,2,1544686373056768961,1544686435058883832,63,62.002,5.557760,23.312780,12.303271,39.879881
